GENE,COEFFICIENT
INPP5J,-0.6907062477454122
ORC6,-0.6798074219037973
CDCA2,0.6776284055424366
DEGS2,-0.6481736438761486
AZIN1,-0.6470594147465053
SLC7A8,-0.6467690284077152
HEY1,-0.6454471903755209
PRELP,-0.6116928783800661
SUSD3,-0.6031978788502549
CENPH,0.5999603852406303
FASN,0.5984076731218397
RGMA,0.5962094333763832
RAD51,-0.5758192364834275
PAK1IP1,-0.5745908788062429
MYB,-0.5710633349251932
KCNG1,0.558378029350678
NUDT8,0.5410549833693331
ZMYND8,0.5320765489120535
AKR7A3,-0.5272131056334975
ABLIM3,-0.5217384626454298
LY6D,0.5139674960079952
KRT17,-0.5120071537038657
SPC25,-0.5118696951995083
WDR66,0.498155505151593
PARP11,-0.4900321668493593
CCNE2,0.47034221007635374
CYP4B1,0.46243499661447685
C16orf71,0.4582637919033681
SPEF2,-0.38704701135291003
LCMT2,-0.37221091871618156
SERHL2,0.3687376781992376
IFT80,0.3646452979499204
GPM6B,-0.35745508765789075
PLK1,-0.3567551694580606
SIDT1,0.34635588154925895
UBTD1,0.34494156065495857
TRIM3,0.3420268307408061
GPD1L,0.33600196548708827
DEPDC1B,0.3102197058245524
ZNF516,0.296209611908716
UBE2T,0.2917476127011686
FBXO5,-0.2873775846597662
DNM3,0.28389278702861886
FOXA1,0.2799020411190818
ERGIC2,-0.26288749725998595
PSMG1,-0.2528866597270599
ZBTB4,0.24824570735936533
AQP7,0.24554462130438504
TCEAL7,0.2414498350682525
XPOT,-0.2370330622405647
KCNJ11,0.2346180191917462
ZNF367,0.21724483657924842
CCNA2,-0.19275596988410207
SFRP1,0.18859165129639732
FADS1,-0.18675255201621802
ARHGAP11B,0.1785046285786597
KIF11,0.16349070158788892
PGAP3,-0.16315217484058958
SLC25A35,0.15544820183942357
DNMT3B,-0.13970667231077924
TP63,-0.12999034676305865
CRYM,-0.12589884118981975
SERPINA3,0.12356450797753848
MEIS2,-0.11625896967799523
PRRT2,0.1155201741867122
DBF4,0.11184846814004173
TLCD1,0.08789303061129895
CCDC74B,0.07336692734576537
RYR1,-0.07209794579099978
CARD10,0.06555731464711995
SEL1L3,-0.0631856613621006
SLC43A3,0.029658927913829947
UCP2,-0.018251201820408885
GABRP,0.01173766199137242
RTN4R,-0.00391776925780218
