GENE,COEFFICIENT
DNALI1,1.1589203714509997
IVD,-1.1531343718355882
AQP7,-1.1428585667664253
GFRA1,1.142539544309976
PARP11,1.1400121024612095
GLUD1,1.1368469596351611
AARS,1.1338071170290196
FGD3,1.1329272309477663
KDM4B,1.1304046342161
PIWIL4,1.0871580345601428
PRODH,1.0483210450338765
HSPB6,1.0469104552149338
ACOX2,0.9946867054600733
PERP,-0.9138809496476458
EPN3,-0.8729254537521295
CHRNA5,-0.8156219835617374
RND1,-0.7963524722271502
CARD10,-0.7952213382672415
TRPM2,-0.7913492760380932
MTBP,0.7470826076738233
CCT5,-0.7197095036303217
CDK12,0.7157324795002908
AGR3,-0.7119224560191368
BIRC5,-0.7019661016679248
GTSE1,0.6953359963891202
FANCA,-0.6816690500236888
RRM2,-0.6606547544693118
CACNA1D,-0.6596428972876979
THSD4,0.657743775248952
ZNF568,-0.6573336703904177
SLC25A13,-0.650370840266785
DIO2,-0.6383111061629171
TP63,0.6362651142313428
CEACAM5,0.6256138014615217
ENPP1,-0.6147945359785585
ANKMY2,0.6078896496552575
CCDC24,0.5884318337369505
LAMC2,0.5513805542145284
DMXL1,-0.54328426674314
DEPDC1B,-0.5369223332387719
ABAT,0.5180867081533596
SCN4B,-0.48255657417628806
FBXO5,-0.4725497636028725
SLC43A3,-0.47241976009917974
TOM1L2,-0.4561224975641004
TCEAL7,0.4528353861048235
RACGAP1,0.440851969811298
SPEF2,-0.42984618727532165
UBTD1,0.4298279640033913
TMPRSS2,-0.4176834026762701
FAM102A,-0.41567954439915694
CEP55,0.3990850326909066
XPOT,0.3561749210530195
XBP1,0.3421987159223102
SLC44A4,-0.3003565563601203
ATP6V1C2,-0.2871956181535827
TUBA1B,-0.26951774582439325
UGT8,0.25947861709060815
PTK7,0.2584891237350534
IFT80,0.21705155548616956
GATA3,0.20676402010925188
DGKD,0.20439552207264292
CCDC74A,-0.20286686730112757
ITPR1,-0.20160930224632875
ACAT2,0.19975765815831298
CFB,0.1847061765412897
MAPT,0.17938740736726327
MYBL2,0.12828103213269207
SKA2,0.10607865871836594
CDCA2,-0.09214535687330282
FBXO36,-0.06681487622815628
CELSR1,-0.04199685498658539
LCMT2,-0.025347188259923537
FAM72D,-0.014050853820624168
TTC39A,-0.0018896104735517073
